hash1, hash2, hash3, hash4, hash5, hash6, 
0, 0, 0, 0, 79, 18, 
30538, 0, 39, 0, 2, 25, 
0, 0, 169, 1, 5, 16, 
0, 0, 860, 0, 0, 18, 
0, 0, 2590, 1, 62, 11, 
0, 0, 3912, 0, 4, 22, 
0, 0, 5234, 0, 4, 21, 
0, 0, 5557, 1, 1, 24, 
0, 0, 4707, 1, 51, 25, 
0, 0, 3363, 1, 6, 13, 
0, 0, 2100, 3, 3, 17, 
0, 0, 1179, 0, 0, 23, 
0, 0, 521, 0, 87, 22, 
0, 0, 219, 2, 3, 15, 
0, 0, 52, 0, 3, 16, 
0, 0, 33, 1, 1, 18, 
0, 0, 3, 0, 73, 16, 
0, 0, 0, 0, 7, 12, 
0, 0, 0, 1, 7, 18, 
0, 0, 0, 1, 0, 14, 
0, 0, 0, 0, 50, 16, 
0, 0, 0, 2, 8, 23, 
0, 0, 0, 1, 2, 21, 
0, 0, 0, 1, 0, 18, 
0, 0, 0, 0, 86, 18, 
0, 0, 0, 0, 10, 19, 
0, 0, 0, 0, 1, 23, 
0, 0, 0, 1, 0, 20, 
0, 0, 0, 1, 81, 11, 
0, 0, 0, 2, 4, 16, 
0, 0, 0, 0, 3, 16, 
0, 0, 0, 0, 0, 20, 
0, 0, 0, 0, 61, 23, 
0, 0, 0, 0, 3, 19, 
0, 0, 0, 0, 3, 18, 
0, 0, 0, 0, 0, 23, 
0, 0, 0, 1, 79, 17, 
0, 0, 0, 0, 5, 25, 
0, 0, 0, 0, 2, 24, 
0, 0, 0, 0, 1, 12, 
0, 0, 0, 0, 67, 14, 
0, 0, 0, 1, 11, 20, 
0, 0, 0, 0, 3, 22, 
0, 0, 0, 0, 0, 15, 
0, 0, 0, 1, 62, 22, 
0, 0, 0, 0, 10, 23, 
0, 0, 0, 1, 7, 27, 
0, 0, 0, 0, 0, 24, 
0, 0, 0, 1, 79, 23, 
0, 0, 0, 0, 6, 20, 
0, 0, 0, 0, 4, 23, 
0, 0, 0, 1, 0, 21, 
0, 0, 0, 0, 63, 19, 
0, 0, 0, 0, 10, 23, 
0, 0, 0, 0, 2, 21, 
0, 0, 0, 0, 0, 21, 
0, 0, 0, 0, 81, 16, 
0, 0, 0, 0, 3, 17, 
0, 0, 0, 0, 1, 18, 
0, 0, 0, 0, 0, 17, 
0, 0, 0, 0, 84, 22, 
0, 0, 0, 0, 3, 20, 
0, 0, 0, 1, 1, 17, 
0, 0, 0, 1, 0, 24, 
0, 0, 0, 0, 57, 15, 
0, 573, 0, 1, 5, 17, 
0, 545, 0, 1, 3, 16, 
0, 797, 0, 1, 0, 34, 
0, 520, 0, 2, 84, 37, 
0, 319, 0, 1, 8, 18, 
0, 399, 0, 0, 1, 12, 
0, 306, 0, 1, 0, 17, 
0, 361, 0, 1, 72, 25, 
0, 219, 0, 1, 8, 20, 
0, 105, 0, 1, 2, 23, 
0, 73, 0, 0, 0, 18, 
0, 350, 0, 1, 64, 19, 
0, 471, 0, 1, 8, 20, 
0, 176, 0, 1, 3, 21, 
0, 168, 0, 1, 0, 21, 
0, 686, 0, 1, 80, 23, 
0, 40, 0, 0, 6, 24, 
0, 373, 0, 1, 3, 18, 
0, 967, 0, 2, 0, 17, 
0, 467, 0, 2, 70, 18, 
0, 174, 0, 0, 5, 14, 
0, 152, 0, 1, 9, 18, 
0, 336, 0, 1, 0, 24, 
0, 1, 0, 0, 55, 28, 
0, 36, 0, 2, 11, 31, 
0, 3, 0, 0, 1, 13, 
0, 0, 0, 1, 0, 16, 
0, 0, 0, 2, 74, 20, 
0, 0, 0, 0, 5, 24, 
0, 0, 0, 1, 6, 21, 
0, 0, 0, 0, 1, 29, 
0, 0, 0, 1, 72, 24, 
0, 1146, 0, 1, 8, 26, 
0, 1407, 0, 1, 2, 22, 
0, 2063, 0, 1, 1, 17, 
0, 1393, 0, 1, 65, 24, 
0, 970, 0, 1, 8, 20, 
0, 1115, 0, 0, 3, 24, 
0, 687, 0, 1, 0, 15, 
0, 805, 0, 2, 77, 12, 
0, 721, 0, 2, 7, 18, 
0, 157, 0, 1, 3, 12, 
0, 140, 0, 0, 0, 20, 
0, 728, 0, 1, 80, 20, 
0, 1058, 0, 1, 5, 17, 
0, 356, 0, 1, 4, 16, 
0, 515, 0, 2, 0, 13, 
0, 1723, 0, 0, 81, 19, 
0, 128, 0, 0, 9, 23, 
0, 1128, 0, 1, 4, 14, 
0, 2496, 0, 1, 0, 14, 
0, 1080, 0, 1, 70, 27, 
0, 826, 0, 1, 6, 24, 
0, 395, 0, 1, 2, 15, 
0, 797, 0, 2, 0, 21, 
0, 0, 0, 0, 53, 17, 
0, 72, 0, 2, 6, 13, 
0, 15, 0, 0, 3, 13, 
0, 0, 0, 0, 0, 20, 
0, 0, 0, 1, 74, 25, 
0, 0, 0, 2, 4, 9, 
0, 0, 0, 0, 2, 26, 
0, 0, 0, 1, 0, 23, 
0, 0, 0, 0, 69, 20, 
0, 0, 0, 0, 5, 12, 
0, 0, 0, 1, 2, 20, 
0, 0, 0, 1, 0, 19, 
0, 0, 0, 0, 42, 17, 
0, 0, 0, 3, 8, 22, 
0, 0, 0, 0, 2, 19, 
0, 0, 0, 1, 0, 16, 
0, 0, 0, 1, 105, 16, 
0, 0, 0, 2, 4, 22, 
0, 0, 0, 1, 5, 21, 
0, 0, 0, 0, 1, 22, 
0, 0, 0, 0, 72, 18, 
0, 0, 0, 0, 6, 18, 
0, 0, 0, 1, 6, 24, 
0, 0, 0, 1, 0, 18, 
0, 0, 0, 0, 54, 16, 
0, 0, 0, 1, 5, 20, 
0, 0, 0, 1, 3, 24, 
0, 0, 0, 0, 0, 30, 
0, 0, 0, 0, 81, 29, 
0, 0, 0, 1, 8, 14, 
0, 0, 0, 1, 6, 16, 
0, 0, 0, 1, 0, 19, 
0, 0, 0, 1, 70, 27, 
0, 0, 0, 0, 4, 31, 
0, 0, 0, 0, 0, 17, 
0, 0, 0, 0, 0, 19, 
0, 0, 0, 0, 71, 26, 
0, 0, 0, 0, 8, 20, 
0, 0, 0, 0, 5, 30, 
0, 0, 0, 2, 0, 23, 
0, 0, 0, 0, 89, 17, 
0, 0, 0, 0, 9, 17, 
0, 0, 0, 0, 5, 21, 
0, 0, 0, 2, 0, 22, 
0, 0, 0, 1, 68, 17, 
0, 0, 0, 1, 10, 18, 
0, 0, 0, 0, 1, 13, 
0, 0, 0, 2, 0, 20, 
0, 0, 0, 0, 63, 23, 
0, 0, 0, 3, 6, 23, 
0, 0, 0, 0, 2, 15, 
0, 0, 0, 1, 0, 28, 
0, 0, 0, 0, 80, 14, 
0, 0, 0, 3, 9, 19, 
0, 0, 0, 2, 5, 20, 
0, 0, 0, 3, 0, 19, 
0, 0, 0, 0, 41, 23, 
0, 0, 0, 1, 7, 29, 
0, 0, 0, 2, 5, 27, 
0, 0, 0, 3, 0, 20, 
0, 0, 0, 2, 89, 25, 
0, 0, 0, 4, 4, 22, 
0, 0, 0, 2, 4, 15, 
0, 0, 0, 3, 0, 21, 
0, 0, 0, 1, 91, 13, 
0, 0, 0, 2, 9, 25, 
0, 0, 0, 1, 2, 22, 
